"time","x","y","z","abs"
7.335331770E-1,-1.312022567E0,1.369483352E0,3.639186621E-1,1.931145945E0
7.535346870E-1,3.639186621E-1,6.224924326E-1,-1.273715258E0,1.463654392E0
7.735379170E-1,4.501099288E-1,-2.873042040E-2,-2.585737944E0,2.624779057E0
7.935301560E-1,5.937620401E-1,1.915361360E-2,-7.278373241E-1,9.395038008E-1
8.135432290E-1,3.102885485E0,3.351882398E-1,6.895300746E-1,3.196201059E0
8.335475000E-1,2.183511972E0,-2.873042040E-2,3.303998232E0,3.960423498E0
8.535350000E-1,1.455674648E0,4.788403213E-2,2.164358377E0,2.608779168E0
8.735422920E-1,1.436521053E0,-1.723825186E-1,-2.489969730E-1,1.468096714E0
8.935358330E-1,2.145204782E0,-2.585737705E-1,-2.097320795E0,3.011232052E0
9.135294790E-1,1.063025594E0,-6.129156351E-1,-1.829170108E0,2.202623952E0
9.338240620E-1,1.130063176E0,7.661445439E-2,-1.915361285E-1,1.148737849E0
9.535298960E-1,1.158793569E0,6.703764945E-2,6.895300746E-1,1.350091962E0
9.735336460E-1,6.224924326E-1,-3.256114423E-1,7.661445141E-1,1.039469603E0
9.935326040E-1,9.576806799E-3,-6.512228847E-1,-3.639186621E-1,7.460695365E-1
1.013523802E0,-7.374141216E-1,-9.289502501E-1,-1.139639974E0,1.644842674E0
1.033527916E0,-1.551442742E0,-7.948749661E-1,-8.810662031E-1,1.953222580E0
1.053531562E0,-1.455674648E0,-8.810662031E-1,-1.264138460E0,2.119743471E0
1.073517708E0,-2.011129379E0,-1.810016513E0,-1.503558636E0,3.095398153E0
1.093524791E0,-1.848323703E0,-2.145204782E0,6.129156351E-1,2.897217569E0
1.113534583E0,-1.158793569E0,-1.273715258E0,3.332728863E0,3.751297744E0
1.133533437E0,-8.906430602E-1,-1.101332784E0,2.403778553E0,2.790041271E0
1.153526562E0,-1.915361360E-2,-1.015141487E0,7.086837292E-1,1.238188890E0
1.173527031E0,1.120486379E0,-2.298433632E-1,8.523358107E-1,1.426462068E0
