time,id,rssi
1708891144629 , 38:e0:8e:cd:cd:3b , -88
1708891144629 , 92:96:f3:40:13:53 , -81
1708891144629 , 90:96:f3:40:13:5a , -92
1708891144629 , 30:f7:72:b7:4c:29 , -85
1708891144629 , 08:10:86:98:70:f6 , -75
1708891144629 , 58:27:8c:90:49:53 , -91
1708891144629 , 08:10:86:98:96:92 , -75
1708891144629 , 50:c4:dd:c6:8f:30 , -64
1708891144629 , 50:c4:dd:ce:28:e2 , -83
1708891144629 , 08:10:86:98:70:f7 , -81
1708891149441 , 58:27:8c:a0:76:c1 , -80
1708891149441 , 6a:db:f5:00:eb:9f , -88
1708891149441 , 74:03:bd:e1:55:30 , -82
1708891149441 , 08:10:86:98:96:93 , -83
1708891149441 , 58:27:8c:90:49:50 , -84
1708891149441 , 08:10:86:98:27:42 , -89
1708891149441 , 52:c4:dd:de:28:e2 , -77
1708891149441 , 58:27:8c:90:49:51 , -84
1708891149441 , 50:c4:dd:c6:8f:37 , -67
1708891149441 , 74:03:bd:e1:55:37 , -90
1708891149441 , bc:5c:4c:ae:b5:92 , -91
1708891149441 , 08:10:86:98:a1:53 , -86
1708891149441 , 10:66:82:7f:ca:16 , -79
1708891149442 , 90:96:f3:40:13:59 , -91
1708891149442 , 08:10:86:98:a1:52 , -82
1708891149442 , 02:16:78:25:d0:d0 , -90
1708891149442 , 90:96:f3:40:13:5f , -91
1708891149442 , 30:f7:72:b7:4c:28 , -76
1708891149442 , 12:66:82:7f:ca:16 , -78
1708891149442 , 38:e0:8e:cd:cd:3b , -89
1708891149442 , 92:96:f3:40:13:53 , -82
1708891149442 , 90:96:f3:40:13:5a , -93
1708891149442 , 30:f7:72:b7:4c:29 , -83
1708891149442 , 08:10:86:98:70:f6 , -75
1708891149442 , 58:27:8c:90:49:53 , -91
1708891149442 , 92:96:f3:40:13:52 , -84
1708891149442 , 08:10:86:98:96:92 , -75
1708891149442 , 50:c4:dd:c6:8f:30 , -66
1708891149442 , 50:c4:dd:ce:28:e2 , -85
1708891149442 , 08:10:86:98:70:f7 , -81
1708891154673 , 58:27:8c:a0:76:c1 , -82
1708891154673 , 6a:db:f5:00:eb:9f , -88
1708891154674 , 74:03:bd:e1:55:30 , -82
1708891154674 , 08:10:86:98:96:93 , -83
1708891154674 , 58:27:8c:90:49:50 , -83
1708891154674 , 08:10:86:98:27:42 , -87
