,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,z_mean,z_std,z_min,z_25%,z_50%,z_75%,z_max,answer
0,0.19399255740000002,0.7034583637592577,-1.9307451,-0.0697333195,0.19074941,0.360513565,2.4831045,0.11890655544999999,0.5198496203973366,-0.6859436,-0.101262808,0.044183732,0.3027856375,2.5434346,0.0598292646,0.4077521593513563,-0.9906911,-0.1408931525,0.036279857,0.22298777250000001,1.1854618,0
50,0.20296356083599998,0.8010127161712383,-0.33792686,-0.061238289,0.025445580500000002,0.13237452375,5.3160677,-0.21981953058999992,1.7303367989482599,-11.009901,-0.0919032075,-0.009782791,0.10037481749999999,1.6414447,0.12576582995999994,1.5843028078267412,-1.5575588,-0.119567385,-0.0181207655,0.068568348,10.690496,0
100,0.0802069271354,0.5817144218516883,-2.3512216,0.01483476175,0.035200834,0.0770205275,1.8543577,0.04408421225799999,0.46516647883197837,-1.0394182,-0.034164310499999996,0.0311369895,0.0872905255,1.701153,-0.10777863834599997,0.48807252724074834,-1.5361632,-0.0706291175,-0.016528845,0.033545135000000004,1.4711955,0
150,0.085379248284,0.25999213031592405,-0.68391085,0.004287958225,0.028096795,0.06511122250000001,1.1873264,-0.009933504445999998,0.28106774573123644,-0.7018709,-0.0678603625,-0.013463497,0.02702277925,1.1424892,-0.02128952028799999,0.2641283107224879,-1.5162563,-0.02219581625,-0.004813671,0.02910709425,0.565382,0
200,0.05173660375200001,0.15627457486410268,-0.004165411,0.0163784025,0.0259405375,0.0407396255,1.1255322,0.0177803654614,0.18082162457021622,-0.52455926,-0.009389877,0.00236153605,0.0152240395,1.1325402,-0.0018041706185999995,0.0632881835602675,-0.15742207,-0.018062353,-0.009662628,0.0010025500925,0.38723326,0
250,0.18347765943400007,1.2291799477525713,-3.6427884,-0.05945045,0.053301693,0.131777115,7.155943,0.034775833140000004,0.6687569700153828,-1.4392219,-0.12049901499999999,0.0448617935,0.2330069525,3.102937,-0.0744488457606,0.769728843957611,-3.2859297,-0.22850239249999998,-0.01395154,0.077517628,1.9721527,0
300,0.01972149603,0.032036352465214975,-0.09277797,0.01114666475,0.023272633,0.032893896,0.15407169,0.015586018751999999,0.04956289350159578,-0.19606876,0.00043714044999999997,0.0122475625,0.02605044825,0.21058369,-0.024928588780000007,0.06135113178314077,-0.23652267,-0.031097650750000004,-0.0138926505,-0.00561928745,0.13663387,0
350,0.027455844963999998,0.02035331185212363,-0.014670372,0.01584357025,0.0254462955,0.037293911,0.111159325,0.013065805352,0.06466578974941284,-0.36535072,0.00340819365,0.015569687249999999,0.03140330325,0.12386608,-0.016743068562000002,0.029944249847115956,-0.060248375,-0.033120155250000005,-0.0201454165,-0.0088205335,0.1537695,0
400,0.04005688296399998,0.9706996984974978,-2.9675443,-0.04944145825,0.0250924825,0.1680769,4.6971807,0.049894384826000004,1.0837262866345674,-5.3565207,-0.03418374025,0.0195484165,0.2295830225,2.4572625,0.0829676433432,0.7472546108684069,-1.8783228,-0.10543548999999999,-0.010250568500000001,0.08331823375,3.4024334,0
450,-0.023700977640000006,0.2439990550509304,-1.3451369,-0.034688689,0.0136671065,0.061054886749999995,0.4582541,0.004825258334000002,0.1990893034343861,-0.5669422,-0.04643368775,-0.005445718699999999,0.02048671275,0.9242072,-0.008170184873999998,0.19772299844079982,-0.6099434,-0.0566077235,0.014427185249999998,0.055988670000000004,0.56830406,0
