time,x,y,z
1688978795165,-0.53749907,-0.0356369,0.32414627
1688978795693,0.8362591,0.5212517,0.7491857
1688978796215,0.5243988,0.15951443,-0.3103826
1688978796745,0.9791565,0.46965313,0.69223857
1688978797269,-0.18397212,0.3931985,-0.29369354
1688978797797,0.3859048,-0.24706125,0.09887457
1688978798326,0.14034939,-0.6284151,0.53951406
1688978798863,2.2749906,-0.6859436,0.6878786
1688978799383,0.36215782,-0.31583452,-0.10726404
1688978799903,0.42057252,-0.33652353,0.24888468
1688978800432,0.5832858,0.25311184,0.14529705
1688978800959,0.38123536,0.2396245,-0.4387908
1688978801486,0.3555808,0.36001158,-0.043641567
1688978802011,0.31540847,-0.0010819435,0.030394554
1688978802540,0.31409,-0.04574251,0.07941866
1688978803064,0.20139456,0.106701374,-0.091056824
1688978803591,0.22638416,-0.088272095,0.024258137
1688978804117,0.015793562,0.38224697,-0.5285878
1688978804644,0.32012105,-0.03030777,0.07303333
1688978805171,0.15467596,-0.03114891,0.006579876
1688978805697,0.3430283,-0.03111267,0.101696014
1688978806229,1.8306738,0.5284953,0.71407366
1688978806752,-0.5442808,-0.5457592,-0.12236309
1688978807278,0.05769722,-0.24043894,-0.45282793
1688978807808,-0.9400765,1.7726297,0.67588043
1688978808331,-1.9307451,0.15568161,0.089075565
1688978808858,2.4831045,-0.48700333,1.1854618
1688978809385,-0.6851995,-0.13237953,-0.4461211
1688978809912,0.39820552,0.09775829,-0.106690586
1688978810436,0.31060123,0.33877373,-0.21114424
1688978810968,0.67435384,0.086247444,-0.3461333
1688978811496,0.1060586,0.05142975,-0.14706984
1688978812028,0.18010426,-0.3426628,-0.09901869
1688978812549,-0.5003896,0.06134987,0.04216516
1688978813073,0.15520835,0.31934357,-0.18761367
1688978813596,0.14647722,0.016576767,0.074754536
1688978814124,0.017201424,-0.104314804,0.079096705
1688978814653,0.03106308,0.11951256,-0.25909632
1688978815178,0.17662382,-0.09210682,-0.028589576
1688978815705,-0.15767956,-0.11805916,0.13934547
1688978816234,0.117301464,-0.062586784,0.095457315
1688978816760,-0.09824228,0.10963917,-0.08677924
1688978817285,0.29044485,-0.11738682,-0.095175624
1688978817822,0.23645735,-0.02358532,0.27508914
1688978818337,0.26263976,0.036937714,0.48054034
1688978818865,-0.2413652,0.14478493,0.53630674
1688978819393,-0.64002323,0.66783905,-0.5909262
1688978819920,0.24101281,2.5434346,-0.9906911
1688978820445,-0.53695273,0.4064579,0.7257552
1688978820974,-0.15396309,0.3464861,0.060718775
1688978821499,0.41818333,0.33110666,-0.17398763
1688978822027,0.12050152,-0.04071617,0.09893441
1688978822553,-0.33792686,0.13332844,0.07962781
1688978823079,0.47089887,-0.023900986,-0.23019545
1688978823605,0.122739315,-0.03993225,-0.11448045
1688978824133,-0.30537772,-0.13644314,0.116113365
1688978824661,0.092330694,-0.04132843,0.028215945
1688978825192,0.008301973,0.03386116,0.029685497
1688978825719,0.041888,0.04240799,0.03040421
1688978826244,-0.15550089,0.120082855,0.059076488
1688978826765,0.04287815,0.063539505,-0.20245245
1688978827294,0.15645075,-0.60660934,-0.41891918
1688978827819,0.14744139,0.6153784,-0.15458536
1688978828346,0.040669918,0.87624216,0.7711396
1688978828873,1.1669638,-0.7476015,-1.5438552
1688978829400,5.3160677,-11.009901,10.690496
1688978829926,0.24467325,1.2070391,0.10920048
1688978830453,0.0070648193,-0.15524197,-0.14093971
1688978830982,-0.032173157,-0.052017212,-0.10088825
1688978831506,-0.06028557,-8.54969E-4,-0.09514427
1688978832032,-0.101527214,-0.08086395,-0.047607422
1688978832560,-0.120867014,-0.044534206,-0.043456554
1688978833087,-0.07512355,-0.1446991,-0.10544443
1688978833613,1.1994776,1.5853157,-1.5575588
1688978834138,-0.09157753,0.026901245,0.045914173
1688978834667,-0.09658241,0.03260231,0.6402445
1688978835194,0.07261753,0.3288207,0.14988947
1688978835719,0.08067179,-0.06720638,0.06261206
1688978836222,0.042723656,0.026442528,-0.006354332
1688978836733,0.06244135,0.017623425,0.09383392
1688978837261,0.26809597,-0.15482807,-0.14141965
1688978837786,0.28337288,1.6414447,-1.552877
1688978838313,0.13558626,-0.45109653,0.11369896
1688978838844,-0.061555862,-0.3773775,-0.12126303
1688978839373,-0.004435301,-0.029202938,-0.006849289
1688978839902,-0.006655216,-0.024454117,0.05472946
1688978840421,0.008944988,-0.018710613,-0.014066219
1688978840949,-0.10308695,-0.21610212,-0.060396194
1688978841474,-0.054141164,-8.535385E-4,0.08015585
1688978842009,1.1445166,-4.230454,0.66795444
1688978842526,0.24771261,0.5305848,-0.48689032
1688978843053,0.0038461685,0.24516773,-0.13418818
1688978843582,0.054745913,0.112653255,-0.051558018
1688978844108,-0.06930971,0.015192032,-0.0745244
1688978844634,0.023808956,0.0302248,-0.001871109
1688978845161,-0.045636177,-0.031048775,-0.022175312
1688978845686,0.012233496,0.14439726,-0.07911253
1688978846216,-0.09114981,0.02067852,-0.084757805
1688978846742,0.027082205,-0.09558296,0.06413841
1688978847267,-0.103841305,-0.35045004,0.070044994
1688978847794,0.84705114,0.4544034,-0.12252164
1688978848321,-0.046124935,-0.1619544,0.20411658
1688978848847,0.082654476,-0.086530685,0.058198214
1688978849374,-0.8286276,1.5887537,-1.2852545
1688978849899,0.09553957,0.44349718,-0.39445734
1688978850427,0.023740292,0.13632298,0.06641626
1688978850954,0.07352972,0.036526203,-0.03965473
1688978851482,2.6273727E-4,0.07015419,-0.024024963
1688978852021,0.0294981,0.05416727,-0.00564909
1688978852541,0.01747036,0.04406786,-0.0027127266
1688978853066,0.019091606,0.012205601,-0.050815105
1688978853589,0.04765463,0.029096603,0.03393936
1688978854114,0.03754568,0.08639002,-0.02229786
1688978854617,0.009361744,-0.019595146,-0.0061149597
1688978855128,0.072728634,0.023405075,0.008262634
1688978855654,0.082764626,0.28936815,0.09530735
1688978856180,0.043242455,0.048371315,-0.0047650337
1688978856711,0.032778263,0.09174776,-2.465248E-4
1688978857234,0.020877361,-0.07725906,0.058380604
1688978857761,0.034816265,0.13495684,-0.081270695
1688978858287,0.033082962,0.0067853928,-0.0046133995
1688978858812,0.05742693,-0.019844532,0.03236246
1688978859341,0.01742363,0.06579828,-0.041386604
1688978859871,-1.296997E-4,0.024870396,-0.056274414
1688978860396,0.020668983,0.052229404,-0.021621227
1688978860920,0.035585403,-0.050344944,0.049130917
1688978861449,0.0064501762,0.0026230812,-0.080532074
1688978861976,0.05322814,0.033177376,-0.017467022
1688978862501,0.04990554,0.0023956299,0.051137447
1688978863029,0.017904282,0.03823614,-0.029379368
1688978863555,0.04012394,0.05846691,-0.025998116
1688978864081,-0.02438879,0.047127724,-0.0237813
1688978864609,0.07818413,-0.019759655,0.026321411
1688978865135,-0.028074741,0.021727562,-0.05670023
1688978865661,0.10279846,0.010896206,0.009346962
1688978866194,0.014895916,-0.03893757,-0.14575958
1688978866721,0.06252289,0.087590694,-0.07527208
1688978867246,0.013645649,-0.051937103,-0.015590668
1688978867770,0.014814377,-0.078335285,0.14829397
1688978868295,1.3568702,-0.8390317,0.35943127
1688978868821,0.76574135,0.17034769,-0.012602806
1688978869350,-1.1287866,0.34248257,-1.458787
1688978869874,1.0719876,-1.0394182,-0.47290254
1688978870401,0.038256645,-1.0334667,-1.5361632
1688978870930,0.9753609,0.7842411,-1.2778124
1688978871457,0.60365105,1.701153,1.4711955
1688978871980,-0.5235853,-0.49319077,-1.1325494
1688978872510,-2.3512216,-0.32083666,0.3788364
1688978873036,1.8543577,-0.7698076,0.3700745
1688978873562,0.08579111,0.31087732,-0.28470516
1688978874087,1.1873264,-0.62009716,-0.6523247
1688978874617,0.2711358,-0.36695194,0.565382
1688978875142,0.16417861,0.14085102,0.043850422
1688978875670,0.8217735,-0.20465755,0.1501193
1688978876215,-0.68391085,0.84967947,-1.5162563
1688978876726,0.36232787,-0.12229967,0.19662571
1688978877252,0.43337953,0.28310525,0.1711092
1688978877776,-0.021735549,-0.7018709,-0.043995857
1688978878303,0.44182217,0.11383104,0.124103546
1688978878809,-0.09606171,-0.20228791,-0.048919678
1688978879315,0.064276814,0.028961182,-0.02247715
1688978879841,0.049565554,0.097700596,0.009805679
1688978880372,0.023928285,-0.017471313,-0.004429817
1688978880902,0.053366065,-0.043287754,-0.01170826
1688978881424,0.0029375553,-0.01414299,0.0328331
1688978881952,0.029102325,-0.01082325,0.017929077
1688978882476,0.0646801,-0.012784004,-0.011810303
1688978883001,0.057649136,-0.031424522,-0.002090454
1688978883528,0.06525493,0.03388977,-0.028859138
1688978884061,0.048606634,0.0037715435,-6.246567E-4
1688978884580,0.04216683,-0.07941079,0.037312508
1688978885110,0.018597126,-0.015057564,0.017819405
1688978885637,0.032934666,0.019732952,0.011244774
1688978886163,-0.0055058002,-0.05668378,-0.013785362
1688978886693,0.019352555,-0.037293196,0.057232857
1688978887215,0.017025828,-0.040626526,-0.005197525
1688978887742,0.027091265,-0.042550564,-0.020054817
1688978888272,0.063314915,0.05555153,0.038578987
1688978888795,0.09359491,-0.032817364,-0.004337311
1688978889322,0.055760145,-0.001226902,-0.015275955
1688978889849,0.01129055,-0.07158589,0.014518738
1688978890377,0.05066347,0.2730918,-0.02848053
1688978890909,0.51081973,1.1424892,0.10942173
1688978891429,-0.028500378,-0.07711172,0.05644703
1688978891956,-0.31346673,0.08181763,0.35395813
1688978892483,0.18724757,-0.63858986,-0.16055012
1688978893009,-0.13882339,0.15135467,-0.032172203
1688978893539,-0.020572007,-0.20284677,-0.3174696
1688978894069,0.12355387,0.07194495,0.017318726
1688978894598,-0.009189963,-0.07408047,-0.046334267
1688978895121,0.13424444,-0.11973715,0.013669968
1688978895642,-0.025553107,-0.0356431,-0.022454262
1688978896171,-0.021118164,-0.0023350716,-0.021420479
1688978896697,0.016111732,0.0075080395,-0.00952816
1688978897223,0.008339167,0.021207571,-0.029543877
1688978897749,0.023725748,-0.008465052,-0.0066604614
1688978898277,0.0014872551,-0.0013082027,0.00715065
1688978898802,0.012923598,-0.01745367,-0.011717796
1688978899329,0.025330424,0.015848875,-0.014616966
1688978899857,0.01651299,0.013910294,-0.0078115463
1688978900389,0.040742993,-0.002117157,0.038707733
1688978900910,0.08483684,0.032622576,0.0012979507
