time,bpm
1699950298,76
1699950299,76
1699950300,76
1699950301,76
1699950302,76
1699950303,75
1699950309,76
1699950309,75
1699950309,78
1699950309,75
1699950309,76
1699950314,78
1699950314,78
1699950314,78
1699950315,80
1699950315,78
1699950315,78
1699950316,82
1699950317,82
1699950318,82
1699950319,82
1699950324,83
1699950324,81
1699950324,82
1699950325,82
1699950325,82
1699950326,82
1699950327,81
1699950327,82
1699950328,81
1699950329,79
1699950330,79
1699950331,79
1699950332,78
1699950333,78
1699950335,76
1699950335,74
1699950339,75
1699950339,76
1699950339,76
1699950339,75
1699950345,75
1699950345,76
1699950345,76
1699950346,74
1699950346,75
1699950347,75
1699950348,75
1699950348,76
1699950348,76
1699950354,75
1699950354,75
1699950354,75
1699950354,75
1699950355,75
1699950355,75
1699950356,73
1699950357,75
1699950357,74
1699950358,74
1699950359,74
1699950360,74
1699950361,74
1699950362,74
1699950363,72
1699950369,75
1699950369,75
1699950369,75
1699950369,74
1699950374,76
1699950374,76
1699950375,73
1699950375,75
1699950375,74
1699950376,74
1699950376,74
1699950377,74
1699950378,74
1699950378,76
1699950384,72
1699950384,74
1699950384,75
1699950384,72
1699950384,73
1699950384,72
1699950385,73
1699950386,73
1699950387,73
1699950388,73
1699950388,74
1699950389,73
1699950390,73
1699950391,73
1699950392,74
1699950393,74
1699950399,74
1699950399,74
1699950399,74
1699950399,74
1699950399,74
1699950399,75
1699950404,77
1699950404,77
1699950404,76
1699950404,76
1699950404,76
1699950405,77
1699950406,76
1699950407,76
1699950408,75
1699950414,73
1699950414,74
1699950414,73
1699950414,74
1699950414,73
1699950414,73
1699950415,72
1699950416,71
1699950417,71
1699950418,71
1699950419,70
1699950420,70
1699950421,70
1699950422,71
1699950423,71
1699950429,71
1699950429,72
1699950429,72
1699950429,72
1699950429,72
1699950429,71
1699950434,72
1699950435,72
1699950435,71
1699950435,71
1699950435,70
1699950435,71
1699950436,70
1699950437,70
1699950438,70
1699950444,81
1699950444,80
1699950444,81
1699950445,81
1699950445,81
1699950446,77
1699950446,81
1699950447,80
1699950447,80
1699950448,79
1699950449,79
1699950450,80
1699950451,80
1699950452,79
1699950453,79
1699950459,77
1699950459,77
1699950459,76
1699950459,77
1699950459,78
1699950459,77
1699950464,77
1699950464,79
1699950464,79
1699950465,79
1699950465,77
1699950466,77
1699950467,76
1699950467,77
1699950468,76
1699950474,77
1699950474,78
1699950474,77
1699950475,77
1699950475,78
1699950476,77
1699950476,78
1699950477,77
1699950478,76
1699950479,76
1699950480,76
1699950481,75
1699950482,75
1699950483,76
1699950491,76
1699950491,75
1699950494,76
1699950495,75
1699950495,76
1699950495,76
1699950495,76
1699950495,75
1699950495,76
1699950495,76
1699950495,76
1699950495,77
1699950496,77
1699950497,79
1699950498,79
1699950504,82
1699950504,81
1699950504,83
1699950504,79
1699950504,79
1699950505,82
1699950506,79
1699950506,82
1699950507,82
1699950508,86
1699950509,86
1699950510,86
1699950511,86
1699950512,85
1699950513,85
1699950519,85
1699950519,86
1699950519,86
1699950519,86
1699950519,85
1699950524,85
1699950524,87
1699950524,84
1699950524,84
1699950524,85
1699950524,84
1699950525,85
1699950526,84
1699950527,83
1699950528,84
1699950534,85
1699950534,85
1699950534,84
1699950534,84
1699950534,85
1699950535,85
1699950536,84
1699950536,85
1699950537,85
1699950538,86
1699950539,85
1699950540,85
1699950542,84
1699950544,83
1699950544,84
1699950549,87
1699950549,88
1699950549,88
1699950549,87
1699950549,89
1699950554,88
1699950554,88
1699950554,86
1699950554,85
1699950556,85
1699950556,88
1699950556,85
1699950557,84
1699950557,84
1699950558,84
1699950564,80
1699950564,83
1699950564,81
1699950564,80
1699950564,82
1699950564,80
1699950566,80
1699950566,80
1699950567,79
1699950569,79
1699950570,79
1699950570,78
1699950571,79
1699950572,79
1699950573,80
1699950577,80
1699950577,80
1699950577,80
1699950579,80
1699950579,79
1699950584,79
1699950584,79
1699950584,79
1699950584,79
1699950584,79
1699950584,79
1699950585,81
1699950586,81
1699950587,81
1699950588,81
1699950594,81
1699950594,79
1699950594,80
1699950594,81
1699950595,81
1699950595,80
1699950596,81
1699950596,81
1699950597,81
1699950598,81
1699950599,78
1699950600,78
1699950601,78
1699950602,78
1699950603,78
1699950607,78
1699950607,78
1699950607,78
1699950608,78
1699950609,78
1699950614,76
1699950615,76
1699950615,76
1699950616,76
1699950618,76
1699950618,76
1699950618,75
1699950624,75
1699950624,75
1699950624,75
1699950624,77
1699950624,76
1699950624,75
1699950624,75
1699950625,76
1699950627,76
1699950627,75
1699950627,77
1699950627,77
1699950628,79
1699950630,80
1699950631,83
1699950632,82
1699950633,83
1699950634,83
1699950639,84
1699950641,85
1699950641,86
1699950641,84
1699950641,84
1699950644,84
1699950645,85
1699950645,88
1699950645,85
1699950646,85
1699950646,88
1699950647,91
1699950648,90
1699950648,85
1699950649,91
1699950654,90
1699950654,90
1699950654,90
1699950654,90
1699950654,90
1699950655,90
1699950656,90
1699950657,90
1699950658,90
1699950659,90
1699950660,91
1699950661,91
1699950662,91
1699950663,91
1699950664,91
1699950669,90
1699950669,90
1699950669,90
1699950669,90
1699950669,91
1699950671,90
1699950671,91
1699950674,91
1699950674,92
1699950675,91
1699950675,92
1699950676,93
1699950677,94
1699950678,94
1699950679,95
1699950684,97
1699950684,97
1699950684,96
1699950685,96
1699950685,97
1699950686,100
1699950687,96
1699950687,100
1699950688,100
1699950689,100
1699950690,99
1699950691,89
1699950692,89
1699950693,92
1699950699,94
1699950699,88
1699950699,88
1699950699,89
1699950699,87
1699950704,90
1699950704,91
1699950704,91
1699950704,90
1699950704,94
1699950704,91
1699950706,91
1699950706,91
1699950707,91
1699950708,91
1699950714,90
1699950714,89
1699950714,89
1699950714,89
1699950714,89
1699950714,90
1699950715,89
1699950716,89
1699950717,88
1699950718,88
1699950719,89
1699950720,89
1699950721,89
1699950722,89
1699950723,88
1699950724,88
