time,status
1699948252,normal
1699948256,normal
1699948259,normal
1699948265,normal
1699948267,normal
1699948270,normal
1699948273,normal
1699948275,surprise
1699948276,normal
1699948278,normal
1699948279,normal
1699948280,normal
1699948284,normal
1699948286,normal
1699948295,normal
1699948297,normal
1699948298,normal
1699948299,normal
1699948302,surprise
1699948303,normal
1699948307,normal
1699948309,normal
1699948311,relief
1699948312,relief
1699948313,normal
1699948317,normal
1699948320,relief
1699948321,normal
1699948325,normal
1699948327,normal
1699948333,normal
1699948335,normal
1699948336,normal
1699948339,relief
1699948340,normal
1699948342,normal
1699948344,normal
1699948350,normal
1699948351,normal
1699948355,normal
1699948359,normal
1699948362,normal
1699948363,normal
1699948365,normal
1699948367,normal
1699948371,normal
1699948378,surprise
1699948378,normal
1699948383,relief
1699948384,normal
1699948387,surprise
1699948388,normal
1699948390,normal
1699948393,normal
1699948397,surprise
1699948398,normal
1699948399,normal
1699948402,normal
1699948404,normal
1699948412,normal
1699948415,normal
1699948417,normal
1699948424,normal
1699948427,normal
1699948429,normal
1699948431,normal
1699948436,normal
1699948441,normal
1699948443,normal
1699948452,normal
1699948454,relief
1699948455,normal
1699948457,normal
1699948458,normal
1699948460,normal
1699948463,relief
1699948464,normal
1699948466,normal
1699948468,surprise
1699948469,normal
1699948473,normal
1699948476,normal
1699948479,normal
1699948481,surprise
1699948482,normal
1699948487,relief
1699948488,normal
1699948490,relief
1699948491,normal
1699948492,normal
1699948494,normal
1699948497,normal
1699948500,normal
1699948506,normal
1699948507,normal
1699948510,normal
1699948511,relief
1699948513,normal
1699948514,relief
1699948515,relief
1699948516,normal
1699948518,normal
1699948520,normal
1699948522,normal
1699948524,relief
1699948527,relief
1699948528,normal
1699948529,normal
1699948534,surprise
1699948535,normal
1699948539,normal
1699948541,surprise
1699948542,surprise
1699948543,normal
1699948547,normal
1699948549,normal
1699948551,normal
1699948552,normal
1699948553,normal
1699948555,normal
1699948557,normal
1699948560,surprise
1699948561,normal
1699948562,normal
1699948564,surprise
1699948565,normal
1699948566,normal
1699948568,surprise
1699948570,normal
1699948572,normal
1699948575,normal
1699948577,normal
1699948583,relief
1699948584,normal
1699948588,normal
1699948592,relief
1699948593,normal
1699948594,normal
1699948597,normal
1699948602,normal
1699948604,relief
1699948606,normal
1699948607,normal
1699948608,normal
1699948609,normal
1699948614,normal
1699948616,normal
1699948617,normal
1699948619,normal
1699948623,normal
1699948626,surprise
1699948627,normal
1699948630,normal
1699948632,normal
1699948635,relief
1699948635,normal
1699948639,normal
1699948642,relief
1699948643,normal
1699948645,normal
1699948647,surprise
