time,bpm
1699891164,70
1699891164,70
1699891164,70
1699891165,71
1699891166,71
1699891167,71
1699891168,69
1699891169,67
1699891171,68
1699891172,68
1699891173,71
1699891174,76
1699891175,76
1699891176,75
1699891177,74
1699891178,74
1699891179,74
1699891180,74
1699891181,72
1699891182,71
1699891183,71
1699891184,70
1699891185,70
1699891186,69
1699891187,68
1699891188,68
1699891189,68
1699891190,70
1699891191,70
1699891192,69
1699891193,69
1699891194,68
1699891195,68
1699891196,68
1699891197,70
1699891198,70
1699891199,71
1699891200,71
1699891201,71
1699891202,71
1699891203,72
1699891205,72
1699891206,73
1699891207,73
1699891208,74
1699891209,74
1699891210,73
1699891211,73
1699891212,73
1699891213,73
1699891214,72
1699891215,73
1699891216,73
1699891217,73
1699891218,73
1699891219,73
1699891220,73
1699891221,72
1699891222,71
1699891223,69
1699891224,69
1699891225,70
1699891226,70
1699891227,70
1699891228,70
1699891229,70
1699891230,70
1699891231,69
1699891232,69
1699891233,69
1699891234,68
1699891235,68
1699891236,67
1699891237,67
1699891238,66
1699891239,67
1699891240,67
1699891241,67
1699891242,68
1699891243,68
