time,bpm
1699941862,76
1699941865,77
1699941867,78
1699941870,77
1699941870,76
1699941875,77
1699941879,76
1699941880,75
1699941883,76
1699941886,77
1699941889,75
1699941893,74
1699941897,75
1699941900,76
1699941901,78
1699941902,79
1699941903,81
1699941905,83
1699941907,87
1699941908,88
1699941909,89
1699941911,85
1699941912,84
1699941913,86
1699941916,84
1699941917,83
1699941918,81
1699941920,80
1699941922,79
1699941927,78
1699941928,77
1699941930,78
1699941935,77
1699941936,76
1699941939,77
1699941941,76
1699941946,75
1699941948,77
1699941949,78
1699941951,77
1699941952,76
1699941955,75
1699941959,76
1699941960,77
1699941961,78
1699941963,77
1699941969,76
1699941970,77
1699941972,76
1699941973,75
1699941979,76
1699941980,75
1699941984,76
1699941987,77
1699941989,78
1699941991,79
1699941995,80
1699942000,81
1699942001,82
1699942003,80
1699942005,79
1699942006,77
1699942016,77
1699942016,76
1699942017,74
1699942017,75
1699942021,75
1699942026,74
1699942037,73
1699942040,74
1699942048,75
1699942049,77
1699942050,80
1699942053,79
1699942054,78
1699942058,77
1699942061,76
1699942063,80
1699942065,85
1699942066,79
1699942067,76
1699942068,73
1699942069,71
1699942071,73
1699942072,74
1699942073,75
1699942075,76
1699942077,75
1699942082,74
1699942084,75
1699942104,76
1699942109,77
1699942115,78
1699942118,79
1699942120,80
1699942121,81
1699942123,80
1699942124,78
1699942129,79
1699942130,78
1699942133,76
1699942133,77
1699942137,75
1699942138,76
1699942139,77
1699942143,78
1699942147,77
1699942148,78
1699942149,79
1699942156,80
1699942157,81
1699942158,83
1699942160,84
1699942163,83
1699942165,84
1699942167,85
1699942168,86
1699942170,84
1699942171,83
1699942172,81
1699942174,79
1699942175,78
1699942176,77
1699942179,76
1699942182,75
1699942184,76
1699942185,75
1699942188,76
1699942189,75
1699942195,76
1699942197,77
1699942198,76
1699942207,77
1699942208,78
1699942213,80
1699942214,82
1699942216,83
1699942217,81
1699942218,78
1699942222,79
1699942223,80
1699942228,81
1699942231,80
1699942232,79
1699942233,78
1699942235,77
1699942240,78
1699942241,77
1699942242,76
1699942247,75
1699942388,76
1699942388,77
1699942394,78
1699942395,82
1699942397,84
1699942398,83
1699942399,85
1699942401,86
1699942403,85
1699942404,83
1699942406,82
1699942409,85
1699942412,88
1699942412,91
1699942413,93
1699942416,89
1699942417,87
1699942420,86
1699942421,85
1699942423,86
1699942434,93
1699942434,90
1699942434,96
1699942434,99
1699942434,98
1699942436,98
1699942437,85
1699942437,91
1699942437,95
1699942438,88
1699942439,89
1699942443,88
1699942444,86
1699942446,83
1699942447,82
1699942448,81
1699942450,80
1699942455,79
1699942456,78
1699942457,77
1699942463,76
1699942467,77
1699942469,79
1699942470,81
1699942471,82
1699942472,83
1699942474,82
1699942475,81
1699942480,80
1699942481,81
1699942482,80
1699942485,79
1699942486,77
1699942489,78
1699942490,77
1699942491,78
1699942493,77
1699942495,76
1699942496,75
1699942499,74
1699942503,73
1699942503,74
1699942507,73
1699942508,72
1699942514,74
1699942519,73
1699942520,74
1699942529,77
1699942531,78
1699942535,77
1699942541,78
1699942542,77
1699942544,76
1699942546,77
1699942547,76
1699942549,75
1699942552,73
1699942556,72
1699942559,73
1699942560,74
1699942564,75
1699942565,76
1699942566,80
1699942567,81
1699942568,82
1699942569,84
1699942571,87
1699942571,88
1699942574,90
1699942576,89
1699942577,87
1699942580,86
1699942581,84
1699942583,83
1699942585,81
1699942586,79
1699942588,78
1699942593,77
1699942594,76
1699942599,78
1699942600,80
1699942602,81
1699942603,82
1699942604,83
1699942607,84
1699942608,85
1699942609,84
1699942614,83
1699942616,84
1699942617,83
1699942618,84
1699942619,83
1699942621,82
1699942627,81
1699942628,80
1699942629,81
1699942631,80
1699942632,81
1699942638,79
1699942640,78
1699942642,77
1699942644,78
1699942646,79
1699942649,78
1699942650,77
1699942651,76
1699942653,77
1699942656,78
1699942657,77
1699942661,79
1699942663,80
1699942665,81
1699942666,80
1699942668,83
1699942669,86
1699942670,87
1699942672,89
1699942674,87
1699942675,85
1699942677,83
1699942678,82
1699942679,81
1699942680,79
1699942682,78
1699942684,80
1699942685,79
1699942692,80
1699942694,81
