time,status
1699941862,normal
1699941862,normal
1699941864,normal
1699941865,relief
1699941865,surprise
1699941866,normal
1699941867,relief
1699941868,surprise
1699941869,normal
1699941870,normal
1699941871,normal
1699941872,normal
1699941873,normal
1699941874,normal
1699941875,normal
1699941876,normal
1699941877,normal
1699941878,normal
1699941879,normal
1699941880,normal
1699941881,normal
1699941882,normal
1699941890,relief
1699941890,surprise
1699941890,surprise
1699941890,relief
1699941890,normal
1699941890,surprise
1699941890,relief
1699941891,relief
1699941892,normal
1699941893,normal
1699941894,normal
1699941895,normal
1699941896,normal
1699941897,normal
1699941898,normal
1699941899,normal
1699941900,normal
1699941901,relief
1699941902,relief
1699941903,relief
1699941904,normal
1699941905,normal
1699941906,relief
1699941907,relief
1699941908,surprise
1699941909,normal
1699941910,normal
1699941911,normal
1699941912,normal
1699941914,normal
1699941920,relief
1699941920,surprise
1699941920,normal
1699941920,relief
1699941920,normal
1699941921,relief
1699941922,normal
1699941924,relief
1699941924,surprise
1699941924,relief
1699941925,normal
1699941926,surprise
1699941926,relief
1699941927,relief
1699941928,normal
1699941929,normal
1699941930,normal
1699941931,normal
1699941932,normal
1699941933,normal
1699941934,normal
1699941935,normal
1699941936,normal
1699941937,relief
1699941938,relief
1699941939,normal
1699941940,normal
1699941941,normal
1699941942,normal
1699941949,surprise
1699941949,surprise
1699941949,relief
1699941949,normal
1699941949,normal
1699941949,surprise
1699941949,relief
1699941951,normal
1699941952,normal
1699941952,normal
1699941954,normal
1699941955,normal
1699941955,normal
1699941956,normal
1699941957,normal
1699941958,normal
1699941959,normal
1699941960,normal
1699941961,normal
1699941962,surprise
1699941963,normal
1699941964,normal
1699941965,surprise
1699941966,relief
1699941967,normal
1699941968,normal
1699941969,normal
1699941970,normal
1699941971,relief
1699941972,normal
1699941978,normal
1699941978,normal
1699941978,normal
1699941978,normal
1699941978,normal
1699941979,normal
1699941980,normal
1699941981,normal
1699941982,normal
1699941982,normal
1699941983,normal
1699941986,surprise
1699941986,normal
1699941986,normal
1699941987,normal
1699941989,relief
1699941990,normal
1699941991,surprise
1699941992,normal
1699941993,surprise
1699941994,normal
1699941995,normal
1699941996,normal
1699941997,normal
1699941998,normal
1699941999,surprise
1699942000,normal
1699942001,normal
1699942002,normal
1699942011,relief
1699942011,normal
1699942014,surprise
1699942014,surprise
1699942014,relief
1699942016,relief
1699942016,relief
1699942017,surprise
1699942017,surprise
1699942017,surprise
1699942017,normal
1699942017,relief
1699942017,normal
1699942018,relief
1699942019,surprise
1699942019,relief
1699942020,normal
1699942021,normal
1699942022,normal
1699942023,normal
1699942025,normal
1699942026,normal
1699942027,normal
1699942028,normal
1699942029,relief
1699942030,relief
1699942031,normal
1699942032,normal
1699942033,normal
1699942038,normal
1699942038,relief
1699942038,surprise
1699942039,normal
1699942039,normal
1699942040,relief
1699942040,surprise
1699942041,normal
1699942042,normal
1699942043,normal
1699942044,normal
1699942045,normal
1699942046,normal
