time,x,y,z
1687340434349,0.29161024,-0.3839295,0.2441206
1687340434385,0.24426866,-0.48652983,0.26745224
1687340434424,-0.031002283,-0.47892487,-0.022490501
1687340434468,-0.40389585,-0.09290147,-0.6337156
1687340434507,-0.5421419,-0.16636252,-1.2215934
1687340434549,-0.34243464,0.36107033,-1.4437199
1687340434591,-0.5156057,1.0292647,-1.3880811
1687340434632,-0.7897916,0.11773825,-0.7935419
1687340434670,-0.82715225,-1.1727672,-0.5499029
1687340434709,-0.7474413,-1.154644,-0.4131341
1687340434753,-0.79573107,-0.62008405,-0.4816041
1687340434790,-0.41047,-0.5385771,-1.2231956
1687340434831,-0.011919975,0.01428318,-1.6433
1687340434871,0.2841754,0.6771064,-2.1816444
1687340434912,0.04267454,0.5974951,-2.1779292
1687340434953,-0.7835326,-1.305604,-1.5082104
1687340435004,-1.2692175,-2.870637,-0.90941703
1687340435039,-0.87352467,-2.7690477,-0.24604654
1687340435075,-0.94394493,-2.5080185,-0.041657448
1687340435123,-0.8423023,-2.392246,-0.03599873
1687340435157,-0.7671776,-2.1399198,0.029690385
1687340435197,-0.5493679,-2.0945582,-0.06973606
1687340435236,-0.24559021,-2.1148853,0.033539116
1687340435275,0.008737564,-1.9752975,0.24013141
1687340435322,-0.047777176,-1.8039914,0.51651686
1687340435358,0.07864475,-1.4556743,0.3346942
1687340435398,0.4448967,-1.3557236,0.11153537
1687340435440,0.31759644,-0.8862859,0.11795455
1687340435479,0.19716263,-0.52611613,-0.13864583
1687340435539,0.016513824,-0.14232516,-0.313101
1687340435563,-0.1565733,0.42798662,-0.5475619
1687340435603,-0.15808296,0.7231642,-0.7055041
1687340435642,-0.14538383,0.92236114,-0.7584653
1687340435681,-0.057322502,1.0208013,-0.8491909
1687340435729,-0.13691044,1.0269879,-0.78586376
1687340435764,-0.07119179,0.9185984,-0.75090456
1687340435803,-0.11101341,0.68609905,-0.6131271
1687340435843,-0.09185982,0.4554386,-0.49105746
1687340435882,-0.1625576,0.26167345,-0.37588412
1687340435923,-0.23008919,0.1245811,-0.29032385
1687340435964,-0.14569283,-0.033227444,-0.27476
1687340436004,-0.46574402,-0.0735116,-0.3105467
1687340436057,-0.07970524,-0.106757164,-0.48647815
1687340436086,-0.4536476,0.018637657,-0.422978
1687340436126,-1.4640055,0.44474638,-1.0691605
1687340436167,0.14422798,0.2490462,-0.7437293
1687340436209,0.79998493,-0.28837752,0.57118726
1687340436248,0.5278778,-0.7989218,0.84800744
1687340436289,0.6540127,-0.8888545,0.29335892
1687340436330,0.7197447,-1.0407246,-0.091581166
1687340436372,0.58740234,-1.0852038,-0.22552145
1687340436411,0.39897823,-0.8937541,-0.28037083
1687340436452,0.46120262,-1.3435136,-0.27212065
1687340436492,0.34092712,-0.8667556,-0.65692514
1687340436533,-0.41436386,-0.43515277,-0.83921516
1687340436579,-0.13898945,-0.52031064,-0.6006843
1687340436616,0.15768242,-0.027692318,-0.64307016
1687340436655,-0.05802822,0.40992093,-0.7129612
1687340436695,-0.5300436,0.810549,-0.66767055
1687340436734,-0.17860603,1.3999283,-0.8836379
1687340436778,0.17531204,0.7274065,-0.7337484
1687340436816,-0.3513708,0.8640306,-0.5285073
1687340436856,-0.33428478,0.88628983,-0.62699
1687340436897,-0.70015717,0.7864058,-0.3576485
1687340436938,-0.42851353,0.73369265,-0.104572654
1687340436978,-0.29108143,0.93919635,-0.013378739
1687340437020,-0.14458942,0.9664221,-0.045679927
1687340437071,-0.097476006,0.7807851,-0.047255635
1687340437104,-0.14103985,0.41937256,-0.0067802668
1687340437139,-0.06356335,0.113479376,-0.06789756
1687340437180,-0.0041570663,-0.09440565,-0.15373635
1687340437221,0.02585411,-0.3212316,-0.2819569
1687340437262,-0.041646957,-0.5326066,-0.3690356
1687340437303,-0.004899025,-0.5838399,-0.42353964
1687340437343,0.04964447,-0.66913986,-0.42387402
1687340437383,0.059796333,-0.68003035,-0.42808187
1687340437425,0.08787823,-0.60183334,-0.39713395
1687340437464,0.06636715,-0.47565317,-0.3794797
1687340437505,0.029997826,-0.33634615,-0.3103137
1687340437545,0.026756287,-0.16793656,-0.3073448
1687340437591,-0.059557915,-0.030577898,-0.27761984
1687340437630,-0.023355484,0.120373964,-0.26987398
1687340437667,0.028035164,0.2506938,-0.24879348
1687340437708,0.016237259,0.2896309,-0.25279248
1687340437747,-0.021168709,0.31995177,-0.2947955
1687340437792,-0.017692566,0.29434466,-0.33476388
1687340437830,0.01144886,0.28063822,-0.3720703
