"time","x","y","z","abs"
2.928589580E-1,-6.991068721E-1,4.118026793E-1,3.830722719E-2,8.122803143E-1
3.128706250E-1,-6.033388376E-1,3.830722570E-1,1.915361360E-2,7.149328416E-1
3.328727600E-1,1.532289088E-1,-9.576806426E-2,-1.532289088E-1,2.369171144E-1
3.528682290E-1,-1.819593310E-1,6.703764945E-2,-1.915361285E-1,2.725606962E-1
3.729111460E-1,-2.298433632E-1,1.436520964E-1,-1.149216816E-1,2.943992006E-1
3.933564580E-1,-4.309563041E-1,2.489969730E-1,-1.819593310E-1,5.299358704E-1
4.128463540E-1,-2.968810201E-1,2.106897533E-1,3.830722719E-2,3.660545805E-1
4.328661980E-1,-1.819593310E-1,2.681505978E-1,1.436520964E-1,3.544712486E-1
4.528656770E-1,-9.576806799E-3,1.532289088E-1,1.628057212E-1,2.237778286E-1
4.728658330E-1,-2.873041928E-1,1.244984865E-1,-1.915361360E-2,3.137043724E-1
4.928725520E-1,-1.340752989E-1,9.576806799E-3,1.053448766E-1,1.707789332E-1
5.128712500E-1,-1.532289088E-1,3.160346150E-1,4.788403213E-2,3.544712357E-1
5.329053640E-1,0.000000000E0,3.256114423E-1,1.628057212E-1,3.640446596E-1
5.528754680E-1,-1.532289088E-1,3.351882398E-1,-1.244984865E-1,3.890117321E-1
5.728414580E-1,-4.692635238E-1,2.777273953E-1,-4.884171486E-1,7.320464957E-1
5.932368750E-1,-5.746084079E-2,1.340752989E-1,1.254561663E0,1.263013420E0
6.128682810E-1,-4.022258818E-1,-1.723825186E-1,-4.309563041E-1,6.141862330E-1
6.328702600E-1,-1.532289088E-1,-1.915361360E-2,-1.149216816E-1,1.924914343E-1
6.528653640E-1,-9.576806799E-3,1.628057212E-1,-3.830722719E-2,1.675257047E-1
6.728894270E-1,-2.585737705E-1,4.788403213E-2,6.703764945E-2,2.713804005E-1
6.929917700E-1,-2.873041928E-1,1.340752989E-1,-2.968810201E-1,4.343480460E-1
7.129034890E-1,-1.532289088E-1,1.628057212E-1,-2.106897533E-1,3.072051000E-1
7.328617700E-1,3.351882398E-1,9.576806426E-2,-8.619125932E-2,3.590983311E-1
7.528707290E-1,1.915361285E-1,-8.619125932E-2,-2.106897533E-1,2.974982250E-1
7.728597390E-1,-1.053448766E-1,3.830722719E-2,-3.830722719E-2,1.184585596E-1
7.928647390E-1,-3.160346150E-1,2.202665508E-1,-2.777273953E-1,4.748976073E-1
8.128594790E-1,-1.340752989E-1,2.585737705E-1,-2.202665508E-1,3.651765792E-1
8.328653120E-1,3.734954596E-1,1.723825186E-1,2.777273953E-1,4.963336551E-1
8.528602600E-1,6.703764945E-2,-5.746084079E-2,7.086837292E-1,7.141627424E-1
8.728739060E-1,1.532289088E-1,3.639186621E-1,1.532289088E-1,4.235504569E-1
8.928543740E-1,9.576806426E-2,2.202665508E-1,1.436520964E-1,2.798656826E-1
9.128652080E-1,4.118026793E-1,-4.788403213E-2,1.244984865E-1,4.328674166E-1
9.328656240E-1,4.596867263E-1,3.447650373E-1,1.244984865E-1,5.879410604E-1
9.528730720E-1,4.596867263E-1,3.447650373E-1,1.244984865E-1,5.879410604E-1
