time,x,y,z
1687342840327,0.15577064,-0.16340645,0.111941054
1687342840327,0.18341228,-0.16691893,0.16065755
1687342840352,0.14049901,-0.18310685,0.1704314
1687342840352,0.039095376,-0.21242839,0.21930063
1687342840382,0.053145275,-0.23518312,0.27763826
1687342840420,0.1873829,-0.24984388,0.32895094
1687342840461,0.3313944,-0.25885415,0.37904188
1687342840501,0.4436409,-0.29718593,0.5180137
1687342840542,0.7425067,-0.33964106,0.7611381
1687342840582,1.4964671,-0.3819435,1.0856602
1687342840623,1.8240436,-0.52564955,1.3652838
1687342840664,1.9179641,-0.72204274,1.6111571
1687342840705,2.6126707,-0.7958047,1.8854356
1687342840745,2.2655466,-0.8394816,1.9905044
1687342840786,1.26556,-1.0047206,1.9827158
1687342840826,1.6447546,-1.0493138,1.9663752
1687342840867,1.8521434,-1.014189,1.8727602
1687342840907,1.3785702,-0.9605856,1.702176
1687342840951,2.6262624,-0.6178902,1.5418239
1687342840988,3.865097,0.23151793,1.1936307
1687342841032,1.5398386,0.1591304,0.8542951
1687342841068,0.8371908,-0.02443461,0.5945246
1687342841109,1.4062119,-0.074067414,0.3801109
1687342841151,1.2512047,-0.054519724,0.20387627
1687342841190,0.25961772,-0.09056077,0.092240654
1687342841231,0.1386664,-0.03894266,0.020158553
1687342841271,-0.043676864,-0.022449298,0.005497787
1687342841313,-0.1693624,-0.031306844,-0.008093964
1687342841353,-0.1470658,-0.027947085,-0.00290161
1687342841393,-0.13515393,-0.024281893,-0.0025961774
1687342841434,-0.06307184,-0.0056505036,-0.01038471
1687342841474,-0.015118915,-0.005955936,-0.009162978
1687342841517,0.0010690142,-0.016187929,0.007483099
1687342841559,0.06337727,-0.0106901415,0.013133603
1687342841598,-0.007330383,-0.018936822,0.010231993
1687342841636,0.011301007,-0.012064588,-0.004428773
1687342841678,0.004581489,-0.008552114,-0.013897184
1687342841719,-0.015271631,-0.010842858,-3.0543262E-4
1687342841761,0.060322944,0.0041233404,0.013897184
1687342841799,0.10262536,0.01572978,0.016798794
1687342841841,0.21868975,0.029626964,0.022143865
1687342841881,0.37598756,0.036957346,0.042913284
1687342841922,0.47510046,0.02611449,0.068264194
1687342841962,0.5702427,0.03436117,0.05375614
1687342842004,0.46609017,0.06704246,0.017715093
1687342842042,0.36865717,0.09117164,0.010537425
1687342842086,0.53786683,0.111177474,0.09605856
1687342842123,0.5529858,0.11927144,0.24694228
1687342842164,0.16187929,0.07742717,0.40653083
1687342842205,-0.23182335,0.01786781,0.5164866
1687342842245,-0.25259277,-0.008857546,0.56077427
1687342842286,-0.16294831,-0.039553523,0.5203045
1687342842327,0.05131268,-0.03772093,0.44226643
1687342842367,0.25885415,-0.028863383,0.32055154
1687342842407,0.4016439,-0.03191771,0.13591751
1687342842449,0.47311515,-0.02733622,-0.041996986
1687342842489,0.3391829,-0.0065668016,-0.16279559
1687342842529,0.014049901,0.026419923,-0.19624045
1687342842571,-0.2499966,0.09758572,-0.17944166
1687342842610,-0.4195117,0.16814066,-0.21135938
