"time","x","y","z","abs"
2.730553640E-1,1.149216816E-1,5.746084079E-2,-1.244984865E-1,1.789095142E-1
2.930805210E-1,-8.619125932E-2,1.340752989E-1,-2.011129409E-1,2.566155373E-1
3.130690100E-1,-1.915361360E-2,2.298433632E-1,-2.681505978E-1,3.536941837E-1
3.330628120E-1,-9.576806426E-2,2.394201756E-1,-9.576806426E-2,2.750728353E-1
3.530518750E-1,7.661445439E-2,9.576806426E-2,2.489969730E-1,2.775622261E-1
3.730523950E-1,2.873042040E-2,7.661445439E-2,2.489969730E-1,2.620967460E-1
3.930843750E-1,-1.340752989E-1,2.394201756E-1,-1.915361360E-2,2.750728397E-1
4.130791660E-1,-2.681505978E-1,4.022258818E-1,-2.011129409E-1,5.235807656E-1
4.330516660E-1,-1.915361360E-2,2.873041928E-1,-6.607996821E-1,7.208098085E-1
4.530561980E-1,-3.830722719E-2,2.873041928E-1,-4.022258818E-1,4.957789859E-1
4.730495310E-1,-1.532289088E-1,2.681505978E-1,-1.053448766E-1,3.263148551E-1
4.930828640E-1,-2.489969730E-1,1.915361285E-1,-9.576806426E-2,3.284160520E-1
5.130657810E-1,-5.363011956E-1,2.873041928E-1,5.746083856E-1,8.368616782E-1
5.330684370E-1,-1.158793569E0,3.830722719E-2,9.385270476E-1,1.491677913E0
5.530498430E-1,-9.385270476E-1,4.118026793E-1,2.489969730E-1,1.054710367E0
5.730535410E-1,2.585737705E-1,7.852981687E-1,-1.302445769E0,1.542698477E0
5.930546870E-1,3.160346150E-1,2.873042040E-2,-1.110909581E0,1.155345581E0
6.130615620E-1,2.585737705E-1,1.628057212E-1,6.703764945E-2,3.128260604E-1
6.330568220E-1,-6.320692301E-1,3.926490843E-1,2.585737705E-1,7.877469199E-1
6.530513540E-1,-4.596867263E-1,2.106897533E-1,-3.734954596E-1,6.286500750E-1
6.730540100E-1,9.576807022E-1,-3.256114423E-1,-8.236053586E-1,1.304415933E0
6.930533850E-1,1.589749932E0,-8.236053586E-1,-1.867477298E0,2.587103031E0
7.130693750E-1,3.543418646E-1,-6.416460276E-1,-4.118026793E-1,8.407432595E-1
7.330515100E-1,1.244984865E-1,-1.436520964E-1,-6.320692301E-1,6.600358396E-1
7.530546870E-1,-1.532289088E-1,2.298433632E-1,-4.788403511E-1,5.528066135E-1
7.730530720E-1,8.140285611E-1,8.619125932E-2,1.436520964E-1,8.310880557E-1
7.930631770E-1,1.254561663E0,-6.416460276E-1,9.864110947E-1,1.720070184E0
8.130657290E-1,1.283292055E0,-1.733402014E0,6.703764796E-1,2.258522894E0
8.330676560E-1,-7.920019150E0,-1.225831270E0,-3.332728863E0,8.679657096E0
8.530496350E-1,4.118026733E0,1.465251446E0,-4.501099110E0,6.274153263E0
8.730672390E-1,2.767697096E0,1.474828243E0,4.692635238E-1,3.171036710E0
8.930741660E-1,-1.359906554E0,3.543418646E-1,3.869029999E0,4.116345117E0
9.130558850E-1,-2.164358377E0,-6.607996821E-1,6.320692301E-1,2.349598884E0
9.331768740E-1,-8.044517636E-1,-1.244984865E0,1.053448796E0,1.818484072E0
9.530606770E-1,-2.298433632E-1,-5.746083856E-1,3.620033026E0,3.672552501E0
9.730657810E-1,2.164358377E0,-1.532289088E-1,1.503558636E0,2.639813413E0
9.930683850E-1,4.788403511E-1,3.639186621E-1,3.160346150E-1,6.794135356E-1
1.013083281E0,6.607996821E-1,9.193734527E-1,-6.703764796E-1,1.315791925E0
1.033054114E0,6.799532771E-1,8.044517636E-1,-1.493981838E0,1.827966310E0
1.053057031E0,9.576807022E-1,5.075707436E-1,-1.618480325E0,1.947885764E0
1.073058645E0,7.565677166E-1,8.619125932E-2,-4.596867263E-1,8.894579975E-1
1.093087604E0,7.661445141E-1,5.171475410E-1,-1.628057212E-1,9.385758885E-1
1.113063437E0,1.149216771E0,9.097966552E-1,-1.130063176E0,1.850803048E0
1.133061406E0,1.781286120E0,1.570596337E0,-1.168370485E0,2.646666335E0
1.153353437E0,3.035847664E0,1.541865945E0,8.810662031E-1,3.517100977E0
1.173063072E0,1.723825216E0,9.193734527E-1,-4.213795066E-1,1.998594909E0
1.193064218E0,1.206677675E0,3.160346150E-1,2.106897533E-1,1.265045083E0
1.213058385E0,6.129156351E-1,2.489969730E-1,1.130063176E0,1.309468537E0
1.233055676E0,3.256114423E-1,2.106897533E-1,1.264138460E0,1.322293095E0
1.253043645E0,-6.703764945E-2,5.746084079E-2,4.979939461E-1,5.057605807E-1
1.273064791E0,-4.788403511E-1,-1.628057212E-1,-1.819593310E-1,5.374969608E-1
1.293075103E0,-1.063025594E0,-6.991068721E-1,-1.273715258E0,1.800312303E0
1.313049687E0,-1.110909581E0,-1.053448796E0,-1.206677675E0,1.949344884E0
1.333082551E0,-1.264138460E0,-8.810662031E-1,-4.979939461E-1,1.619358413E0
1.353036458E0,-1.417367458E0,-8.331822157E-1,1.149216816E-1,1.648129276E0
1.373047812E0,-1.589749932E0,-1.120486379E0,3.830722719E-2,1.945317973E0
