time,id,rssi
1708891602690 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -78
1708891602690 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -94
1708891603794 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891603794 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -92
1708891603794 , 8ebc2114-4abd-ba0d-b7c6-ff0f0020001b , -68
1708891604900 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891604900 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -94
1708891606009 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708891606009 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -93
1708891607130 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708891607130 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -91
1708891608238 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708891608238 , 8ebc2114-4abd-ba0d-b7c6-ff0f0020001b , -78
1708891608238 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -92
1708891609346 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708891609346 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -92
1708891610454 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -85
1708891610454 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -92
1708891611558 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -84
1708891612667 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -84
1708891613789 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -85
1708891614906 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -77
1708891614906 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -91
1708891616027 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891616027 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -91
1708891617136 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891617136 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -91
1708891618246 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891618246 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -93
1708891622717 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -85
1708891623818 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -84
1708891623818 , 8ebc2114-4abd-ba0d-b7c6-ff0f0020001b , -73
1708891624938 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -84
1708891626061 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -83
1708891627181 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891627181 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -93
1708891628299 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891628299 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -94
1708891629412 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708891629412 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -92
1708891630532 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708891630532 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -94
1708891631648 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708891631648 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -93
1708891632769 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
